val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision,epoch,step
1.0469030141830444,0.7147058844566345,0.45945945382118225,0.0,0.31481480598449707,0.5,0.22972972691059113,0,329
0.6080137491226196,0.8264706134796143,0.6756756901741028,0.3611510396003723,0.6747252941131592,0.6845588088035583,0.6901515126228333,1,659
0.5011400580406189,0.8595588207244873,0.7702702879905701,0.5425454378128052,0.7702283263206482,0.7742646932601929,0.7732601165771484,2,989
0.4529542028903961,0.8720588684082031,0.7837837934494019,0.5647058486938477,0.7823529839515686,0.7823529243469238,0.7823529243469238,3,1319
0.6141282320022583,0.8683823347091675,0.7567567825317383,0.5208632946014404,0.7560439705848694,0.7661764621734619,0.7742424011230469,4,1649
0.5578441619873047,0.8727941513061523,0.7837837934494019,0.5703918933868408,0.7837837338447571,0.7889705896377563,0.7889705896377563,5,1979
0.9369833469390869,0.8573529720306396,0.7297297120094299,0.4744318127632141,0.7247023582458496,0.7455882430076599,0.778333306312561,6,2309
0.4904772639274597,0.8999999761581421,0.8513513803482056,0.7013939619064331,0.8506696224212646,0.8514705896377563,0.8501831293106079,7,2639
0.5217263698577881,0.8867647647857666,0.7972972989082336,0.5998557806015015,0.7969635725021362,0.8058823347091675,0.8120779991149902,8,2969
0.5803991556167603,0.886764645576477,0.7702702879905701,0.5465033054351807,0.7698920965194702,0.7786765098571777,0.7843210697174072,9,3299
0.5880063772201538,0.8948529958724976,0.7837837934494019,0.5608308911323547,0.7797619104385376,0.7779412269592285,0.7863636016845703,10,3629
0.6814490556716919,0.8647059202194214,0.7837837934494019,0.5703918933868408,0.7837837338447571,0.7889705896377563,0.7889705896377563,11,3959
0.8238963484764099,0.8720588684082031,0.8243243098258972,0.6471019983291626,0.8235186338424683,0.8242647051811218,0.8230769634246826,12,4289
0.5038453340530396,0.9132353067398071,0.837837815284729,0.6720826625823975,0.8359201550483704,0.8345588445663452,0.8385416269302368,13,4619
