val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision,epoch,step
0.6664490699768066,0.4232954680919647,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,0,350
0.7225526571273804,0.5494318008422852,0.4712643623352051,0.05968046188354492,0.46554484963417053,0.5360795259475708,0.5431386232376099,1,701
0.689759373664856,0.46534091234207153,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,2,1052
0.7172370553016663,0.4329545497894287,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,3,1403
0.6919028162956238,0.4386363625526428,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,4,1754
0.6954880356788635,0.4119318127632141,0.5057471394538879,-0.08403360843658447,0.4572754502296448,0.4588068127632141,0.4568965435028076,5,2105
0.7465580701828003,0.41122156381607056,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,6,2456
0.6574162244796753,0.5261363983154297,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,7,2807
0.6800575852394104,0.40909090638160706,0.6091954112052917,-0.04522967338562012,0.37857145071029663,0.48181816935539246,0.3117647171020508,8,3158
0.6834753751754761,0.39403408765792847,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,9,3509
0.6710249781608582,0.3599432110786438,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,10,3860
0.6784992218017578,0.39431819319725037,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,11,4211
0.677028238773346,0.39744317531585693,0.6206896305084229,-0.022800207138061523,0.3829787075519562,0.4909090995788574,0.3139534890651703,12,4562
0.7315354347229004,0.36974430084228516,0.36781609058380127,-0.0612109899520874,0.33254289627075195,0.46079546213150024,0.4233333468437195,13,4913
0.7230955362319946,0.45482954382896423,0.36781609058380127,-0.03999137878417969,0.3157442808151245,0.4738636314868927,0.42721518874168396,14,5264
0.6770066618919373,0.39375001192092896,0.6091954112052917,-0.04522967338562012,0.37857145071029663,0.48181816935539246,0.3117647171020508,15,5615
0.6977561116218567,0.4041193127632141,0.6321839094161987,0.0,0.38732394576072693,0.5,0.31609195470809937,16,5966
0.6818270683288574,0.4065340757369995,0.6091954112052917,-0.04522967338562012,0.37857145071029663,0.48181816935539246,0.3117647171020508,17,6317
